age_upon_outcome,sex_upon_outcome,animal_type,breed,color
42,2,1,732,154
42,3,1,165,388
9,2,1,410,173
40,3,1,720,55
38,3,0,551,184
42,3,1,140,416
38,2,1,590,372
40,3,1,900,128
38,3,1,900,128
42,3,1,398,388
42,3,1,398,388
42,3,0,544,55
7,3,1,65,475
9,3,1,901,115
38,3,1,230,55
42,2,1,741,337
11,1,1,900,58
38,3,1,901,55
44,3,1,353,441
42,3,0,789,391
10,3,1,44,55
42,2,0,552,297
35,3,1,819,37
7,2,1,819,213
40,2,1,819,213
42,3,1,901,434
38,3,0,552,55
31,2,0,552,305
40,3,1,901,128
35,2,1,824,432
38,3,0,552,149
44,3,1,271,337
40,3,1,271,337
10,2,1,720,199
38,2,1,883,250
38,2,1,883,250
40,2,1,720,55
38,2,1,770,117
44,3,1,270,173
44,3,1,270,173
42,3,1,270,173
38,2,1,720,481
35,3,1,900,372
35,3,1,900,372
44,2,1,762,128
15,3,1,456,444
44,2,1,967,117
42,2,1,763,385
38,1,1,901,55
35,2,1,901,115
35,3,1,901,372
35,3,1,901,372
35,3,1,901,372
35,2,1,901,115
35,2,1,901,115
13,2,1,398,372
13,2,1,398,372
13,2,1,398,372
42,3,1,456,175
38,2,1,1055,278
42,2,1,282,432
38,2,0,552,305
42,2,1,398,311
40,2,1,398,311
40,2,1,876,469
40,3,1,901,475
31,3,1,230,235
7,3,0,552,136
38,3,1,923,311
35,3,1,923,311
38,3,1,657,434
38,3,1,657,434
35,3,1,657,434
7,3,1,901,117
7,3,1,901,117
42,2,1,900,128
40,2,1,900,128
38,2,1,900,128
44,2,1,481,76
42,1,1,397,372
7,2,1,590,154
44,3,1,479,311
35,3,1,901,173
35,3,0,552,55
7,1,1,364,475
35,2,1,398,444
44,2,1,792,432
31,2,0,552,7
31,3,1,397,117
31,3,1,397,117
31,2,0,552,55
9,2,1,1069,117
44,3,1,884,432
9,3,1,979,74
40,2,0,43,289
38,3,1,901,452
11,3,1,33,173
7,2,1,456,372
9,3,1,439,372
42,2,1,397,117
44,2,1,194,434
9,2,1,876,444
42,3,1,65,127
42,2,1,135,337
35,2,1,135,337
42,3,1,456,182
42,3,1,590,154
44,2,1,1156,154
38,2,1,1156,154
35,3,1,141,444
40,2,0,552,7
40,3,1,901,173
44,2,0,544,55
35,3,1,564,173
40,3,1,720,117
38,3,1,720,117
9,3,1,1055,337
44,0,1,901,475
38,2,1,901,55
31,3,1,456,7
38,2,0,544,115
35,3,0,552,360
40,2,0,552,136
42,2,1,901,55
40,2,1,901,55
40,2,1,880,154
40,2,1,880,154
42,3,0,552,184
42,3,1,590,154
38,3,1,720,7
40,3,1,750,154
40,2,1,1055,434
38,3,1,720,173
40,3,0,552,401
40,2,1,901,173
38,2,1,901,173
38,2,1,901,173
35,2,1,901,173
12,0,1,383,55
7,3,0,552,401
42,2,1,792,432
38,2,1,792,432
31,2,0,552,21
9,3,1,398,372
35,1,1,901,58
42,2,1,65,55
38,2,1,397,432
38,2,1,397,432
44,2,1,901,311
44,3,1,397,37
42,3,1,397,37
44,2,1,230,55
38,3,0,544,391
40,3,1,762,118
44,2,1,488,117
42,2,1,488,117
35,2,1,988,173
44,3,1,152,416
35,3,0,552,297
40,3,1,967,374
42,1,1,1157,37
38,2,1,533,37
42,1,1,901,388
40,2,1,457,7
40,3,1,152,416
9,3,0,552,55
38,2,1,720,475
7,2,1,988,475
42,3,1,398,475
40,3,1,398,475
40,2,0,552,115
11,3,1,64,434
44,2,1,723,337
42,2,1,723,337
38,2,1,901,173
35,3,1,901,434
44,3,1,1055,337
40,2,0,544,7
10,1,1,720,7
